# X-ray-like data generated for model core_shell_sphere with parameters:
# radius = 150
# thickness = 40
# sld_core = 4
# sld_shell = 4
# sld_solvent = 6
# scale = 0.012
# background = 0.001
#    Q             counts           error          sigmaQ
1.000000e-03    1.368883e+02    1.368965e-02    1.007602e-04
1.006707e-03    1.369298e+02    1.369172e-02    1.007633e-04
1.013458e-03    1.368708e+02    1.368877e-02    1.007665e-04
1.020255e-03    1.368627e+02    1.368837e-02    1.007696e-04
1.027097e-03    1.368616e+02    1.368831e-02    1.007728e-04
1.033986e-03    1.368428e+02    1.368738e-02    1.007761e-04
1.040920e-03    1.368040e+02    1.368543e-02    1.007794e-04
1.047901e-03    1.368123e+02    1.368585e-02    1.007827e-04
1.054929e-03    1.368002e+02    1.368524e-02    1.007861e-04
1.062004e-03    1.367716e+02    1.368381e-02    1.007895e-04
1.069126e-03    1.367531e+02    1.368289e-02    1.007930e-04
1.076297e-03    1.367487e+02    1.368267e-02    1.007965e-04
1.083515e-03    1.367345e+02    1.368195e-02    1.008001e-04
1.090781e-03    1.367044e+02    1.368045e-02    1.008037e-04
1.098097e-03    1.367112e+02    1.368079e-02    1.008074e-04
1.105461e-03    1.366923e+02    1.367984e-02    1.008111e-04
1.112875e-03    1.366739e+02    1.367892e-02    1.008149e-04
1.120339e-03    1.366666e+02    1.367856e-02    1.008187e-04
1.127852e-03    1.366613e+02    1.367829e-02    1.008225e-04
1.135416e-03    1.366099e+02    1.367572e-02    1.008265e-04
1.143031e-03    1.365931e+02    1.367488e-02    1.008304e-04
1.150697e-03    1.366226e+02    1.367636e-02    1.008344e-04
1.158414e-03    1.365299e+02    1.367171e-02    1.008385e-04
1.166183e-03    1.365496e+02    1.367270e-02    1.008427e-04
1.174004e-03    1.365212e+02    1.367128e-02    1.008468e-04
1.181878e-03    1.364982e+02    1.367013e-02    1.008511e-04
1.189804e-03    1.364864e+02    1.366954e-02    1.008554e-04
1.197784e-03    1.365019e+02    1.367032e-02    1.008598e-04
1.205817e-03    1.364658e+02    1.366850e-02    1.008642e-04
1.213904e-03    1.364448e+02    1.366745e-02    1.008687e-04
1.222045e-03    1.364150e+02    1.366596e-02    1.008732e-04
1.230240e-03    1.363831e+02    1.366436e-02    1.008778e-04
1.238491e-03    1.363791e+02    1.366416e-02    1.008824e-04
1.246797e-03    1.363603e+02    1.366322e-02    1.008872e-04
1.255159e-03    1.363431e+02    1.366236e-02    1.008919e-04
1.263577e-03    1.363495e+02    1.366268e-02    1.008968e-04
1.272051e-03    1.362791e+02    1.365915e-02    1.009017e-04
1.280582e-03    1.362578e+02    1.365808e-02    1.009067e-04
1.289170e-03    1.362622e+02    1.365830e-02    1.009117e-04
1.297816e-03    1.362264e+02    1.365651e-02    1.009169e-04
1.306520e-03    1.362146e+02    1.365592e-02    1.009220e-04
1.315282e-03    1.361949e+02    1.365493e-02    1.009273e-04
1.324103e-03    1.361597e+02    1.365317e-02    1.009326e-04
1.332984e-03    1.361555e+02    1.365296e-02    1.009380e-04
1.341923e-03    1.361027e+02    1.365031e-02    1.009435e-04
1.350923e-03    1.360895e+02    1.364965e-02    1.009490e-04
1.359983e-03    1.360524e+02    1.364779e-02    1.009546e-04
1.369104e-03    1.360276e+02    1.364654e-02    1.009603e-04
1.378286e-03    1.360261e+02    1.364647e-02    1.009661e-04
1.387530e-03    1.359733e+02    1.364382e-02    1.009719e-04
1.396835e-03    1.359614e+02    1.364322e-02    1.009778e-04
1.406203e-03    1.359331e+02    1.364180e-02    1.009839e-04
1.415634e-03    1.359142e+02    1.364085e-02    1.009899e-04
1.425128e-03    1.358935e+02    1.363981e-02    1.009961e-04
1.434686e-03    1.358722e+02    1.363875e-02    1.010023e-04
1.444307e-03    1.358472e+02    1.363749e-02    1.010087e-04
1.453994e-03    1.358401e+02    1.363713e-02    1.010151e-04
1.463745e-03    1.358051e+02    1.363537e-02    1.010216e-04
1.473562e-03    1.357683e+02    1.363353e-02    1.010282e-04
1.483444e-03    1.357345e+02    1.363183e-02    1.010348e-04
1.493393e-03    1.356852e+02    1.362935e-02    1.010416e-04
1.503409e-03    1.356820e+02    1.362920e-02    1.010485e-04
1.513491e-03    1.356685e+02    1.362852e-02    1.010554e-04
1.523642e-03    1.356094e+02    1.362555e-02    1.010624e-04
1.533860e-03    1.355801e+02    1.362408e-02    1.010696e-04
1.544147e-03    1.355523e+02    1.362268e-02    1.010768e-04
1.554503e-03    1.355338e+02    1.362175e-02    1.010841e-04
1.564928e-03    1.354719e+02    1.361864e-02    1.010916e-04
1.575424e-03    1.354435e+02    1.361721e-02    1.010991e-04
1.585989e-03    1.354346e+02    1.361676e-02    1.011067e-04
1.596626e-03    1.353935e+02    1.361470e-02    1.011144e-04
1.607334e-03    1.353540e+02    1.361271e-02    1.011223e-04
1.618114e-03    1.353217e+02    1.361109e-02    1.011302e-04
1.628966e-03    1.352735e+02    1.360866e-02    1.011382e-04
1.639890e-03    1.352414e+02    1.360705e-02    1.011464e-04
1.650888e-03    1.352233e+02    1.360614e-02    1.011546e-04
1.661960e-03    1.351766e+02    1.360379e-02    1.011630e-04
1.673106e-03    1.351290e+02    1.360139e-02    1.011715e-04
1.684327e-03    1.350892e+02    1.359939e-02    1.011801e-04
1.695623e-03    1.350841e+02    1.359913e-02    1.011888e-04
1.706995e-03    1.350119e+02    1.359550e-02    1.011976e-04
1.718443e-03    1.349491e+02    1.359234e-02    1.012066e-04
1.729968e-03    1.349440e+02    1.359208e-02    1.012156e-04
1.741570e-03    1.349156e+02    1.359065e-02    1.012248e-04
1.753250e-03    1.348633e+02    1.358801e-02    1.012341e-04
1.765008e-03    1.348125e+02    1.358545e-02    1.012435e-04
1.776845e-03    1.348017e+02    1.358491e-02    1.012531e-04
1.788762e-03    1.347262e+02    1.358111e-02    1.012628e-04
1.800758e-03    1.346967e+02    1.357962e-02    1.012726e-04
1.812835e-03    1.346612e+02    1.357783e-02    1.012825e-04
1.824993e-03    1.346165e+02    1.357557e-02    1.012926e-04
1.837233e-03    1.345772e+02    1.357359e-02    1.013028e-04
1.849554e-03    1.345334e+02    1.357139e-02    1.013132e-04
1.861958e-03    1.344910e+02    1.356925e-02    1.013236e-04
1.874446e-03    1.344226e+02    1.356579e-02    1.013343e-04
1.887017e-03    1.343939e+02    1.356435e-02    1.013450e-04
1.899672e-03    1.343472e+02    1.356199e-02    1.013560e-04
1.912413e-03    1.343215e+02    1.356069e-02    1.013670e-04
1.925238e-03    1.342370e+02    1.355643e-02    1.013782e-04
1.938150e-03    1.342115e+02    1.355514e-02    1.013896e-04
1.951148e-03    1.341422e+02    1.355164e-02    1.014011e-04
1.964234e-03    1.341001e+02    1.354951e-02    1.014127e-04
1.977407e-03    1.340452e+02    1.354674e-02    1.014245e-04
1.990669e-03    1.340014e+02    1.354453e-02    1.014365e-04
2.004019e-03    1.339471e+02    1.354178e-02    1.014487e-04
2.017459e-03    1.338847e+02    1.353862e-02    1.014610e-04
2.030990e-03    1.338509e+02    1.353692e-02    1.014734e-04
2.044611e-03    1.337908e+02    1.353388e-02    1.014860e-04
2.058323e-03    1.337237e+02    1.353048e-02    1.014988e-04
2.072127e-03    1.336925e+02    1.352891e-02    1.015118e-04
2.086024e-03    1.336334e+02    1.352591e-02    1.015249e-04
2.100014e-03    1.335666e+02    1.352253e-02    1.015382e-04
2.114098e-03    1.335076e+02    1.351954e-02    1.015517e-04
2.128276e-03    1.334458e+02    1.351641e-02    1.015654e-04
2.142550e-03    1.333899e+02    1.351358e-02    1.015792e-04
2.156919e-03    1.333386e+02    1.351099e-02    1.015933e-04
2.171385e-03    1.332668e+02    1.350735e-02    1.016075e-04
2.185947e-03    1.331955e+02    1.350373e-02    1.016219e-04
2.200607e-03    1.331268e+02    1.350025e-02    1.016365e-04
2.215366e-03    1.330699e+02    1.349737e-02    1.016513e-04
2.230223e-03    1.330149e+02    1.349458e-02    1.016663e-04
2.245180e-03    1.329676e+02    1.349218e-02    1.016815e-04
2.260238e-03    1.329016e+02    1.348883e-02    1.016969e-04
2.275396e-03    1.328226e+02    1.348482e-02    1.017125e-04
2.290656e-03    1.327687e+02    1.348208e-02    1.017283e-04
2.306019e-03    1.326769e+02    1.347742e-02    1.017443e-04
2.321484e-03    1.326387e+02    1.347548e-02    1.017605e-04
2.337054e-03    1.325196e+02    1.346943e-02    1.017770e-04
2.352727e-03    1.324954e+02    1.346820e-02    1.017936e-04
2.368506e-03    1.324084e+02    1.346378e-02    1.018105e-04
2.384390e-03    1.323434e+02    1.346047e-02    1.018276e-04
2.400382e-03    1.322507e+02    1.345576e-02    1.018450e-04
2.416480e-03    1.321814e+02    1.345223e-02    1.018625e-04
2.432686e-03    1.321375e+02    1.344999e-02    1.018803e-04
2.449001e-03    1.320269e+02    1.344437e-02    1.018984e-04
2.465426e-03    1.319686e+02    1.344140e-02    1.019167e-04
2.481960e-03    1.319008e+02    1.343794e-02    1.019352e-04
2.498606e-03    1.317865e+02    1.343212e-02    1.019540e-04
2.515363e-03    1.317353e+02    1.342951e-02    1.019730e-04
2.532232e-03    1.316611e+02    1.342573e-02    1.019922e-04
2.549215e-03    1.315389e+02    1.341949e-02    1.020118e-04
2.566311e-03    1.314754e+02    1.341626e-02    1.020315e-04
2.583522e-03    1.313885e+02    1.341182e-02    1.020516e-04
2.600849e-03    1.312670e+02    1.340562e-02    1.020719e-04
2.618292e-03    1.312342e+02    1.340394e-02    1.020925e-04
2.635851e-03    1.311178e+02    1.339800e-02    1.021133e-04
2.653529e-03    1.310248e+02    1.339325e-02    1.021345e-04
2.671325e-03    1.309425e+02    1.338904e-02    1.021559e-04
2.689240e-03    1.308441e+02    1.338401e-02    1.021776e-04
2.707276e-03    1.307756e+02    1.338051e-02    1.021995e-04
2.725433e-03    1.306652e+02    1.337485e-02    1.022218e-04
2.743711e-03    1.305786e+02    1.337043e-02    1.022444e-04
2.762112e-03    1.304848e+02    1.336562e-02    1.022672e-04
2.780636e-03    1.303895e+02    1.336074e-02    1.022904e-04
2.799285e-03    1.302703e+02    1.335463e-02    1.023139e-04
2.818058e-03    1.301900e+02    1.335051e-02    1.023376e-04
2.836958e-03    1.300760e+02    1.334467e-02    1.023617e-04
2.855984e-03    1.299686e+02    1.333916e-02    1.023862e-04
2.875138e-03    1.298742e+02    1.333431e-02    1.024109e-04
2.894420e-03    1.297717e+02    1.332905e-02    1.024360e-04
2.913832e-03    1.296559e+02    1.332310e-02    1.024614e-04
2.933374e-03    1.295423e+02    1.331726e-02    1.024871e-04
2.953046e-03    1.294485e+02    1.331244e-02    1.025132e-04
2.972851e-03    1.293371e+02    1.330671e-02    1.025396e-04
2.992789e-03    1.292549e+02    1.330248e-02    1.025663e-04
3.012860e-03    1.291122e+02    1.329513e-02    1.025935e-04
3.033066e-03    1.289823e+02    1.328845e-02    1.026209e-04
3.053408e-03    1.288597e+02    1.328213e-02    1.026488e-04
3.073886e-03    1.287584e+02    1.327691e-02    1.026770e-04
3.094501e-03    1.286572e+02    1.327169e-02    1.027056e-04
3.115254e-03    1.285148e+02    1.326434e-02    1.027345e-04
3.136147e-03    1.283806e+02    1.325741e-02    1.027638e-04
3.157180e-03    1.282776e+02    1.325209e-02    1.027936e-04
3.178354e-03    1.281550e+02    1.324576e-02    1.028237e-04
3.199669e-03    1.280445e+02    1.324005e-02    1.028542e-04
3.221128e-03    1.278871e+02    1.323191e-02    1.028851e-04
3.242731e-03    1.277597e+02    1.322532e-02    1.029164e-04
3.264479e-03    1.276282e+02    1.321851e-02    1.029481e-04
3.286372e-03    1.275170e+02    1.321275e-02    1.029803e-04
3.308412e-03    1.273597e+02    1.320460e-02    1.030128e-04
3.330600e-03    1.272371e+02    1.319824e-02    1.030458e-04
3.352937e-03    1.270735e+02    1.318975e-02    1.030793e-04
3.375424e-03    1.269626e+02    1.318399e-02    1.031131e-04
3.398061e-03    1.268031e+02    1.317571e-02    1.031474e-04
3.420851e-03    1.266628e+02    1.316842e-02    1.031822e-04
3.443793e-03    1.265045e+02    1.316019e-02    1.032174e-04
3.466889e-03    1.263581e+02    1.315257e-02    1.032531e-04
3.490140e-03    1.262198e+02    1.314537e-02    1.032892e-04
3.513547e-03    1.260705e+02    1.313759e-02    1.033259e-04
3.537111e-03    1.259131e+02    1.312939e-02    1.033630e-04
3.560833e-03    1.257598e+02    1.312140e-02    1.034005e-04
3.584714e-03    1.255984e+02    1.311297e-02    1.034386e-04
3.608755e-03    1.254478e+02    1.310511e-02    1.034772e-04
3.632957e-03    1.253065e+02    1.309773e-02    1.035163e-04
3.657322e-03    1.251269e+02    1.308834e-02    1.035559e-04
3.681850e-03    1.249511e+02    1.307914e-02    1.035960e-04
3.706542e-03    1.247939e+02    1.307091e-02    1.036366e-04
3.731401e-03    1.246273e+02    1.306218e-02    1.036778e-04
3.756425e-03    1.244591e+02    1.305336e-02    1.037195e-04
3.781618e-03    1.242582e+02    1.304283e-02    1.037617e-04
3.806980e-03    1.240826e+02    1.303361e-02    1.038045e-04
3.832512e-03    1.239025e+02    1.302414e-02    1.038478e-04
3.858215e-03    1.237568e+02    1.301648e-02    1.038918e-04
3.884090e-03    1.235615e+02    1.300621e-02    1.039362e-04
3.910139e-03    1.233651e+02    1.299587e-02    1.039813e-04
3.936363e-03    1.231929e+02    1.298680e-02    1.040270e-04
3.962762e-03    1.229995e+02    1.297660e-02    1.040732e-04
3.989339e-03    1.228130e+02    1.296676e-02    1.041201e-04
4.016093e-03    1.226089e+02    1.295597e-02    1.041675e-04
4.043028e-03    1.224232e+02    1.294616e-02    1.042156e-04
4.070142e-03    1.222403e+02    1.293649e-02    1.042643e-04
4.097439e-03    1.220286e+02    1.292528e-02    1.043136e-04
4.124919e-03    1.218082e+02    1.291360e-02    1.043636e-04
4.152583e-03    1.216032e+02    1.290273e-02    1.044142e-04
4.180433e-03    1.214301e+02    1.289355e-02    1.044655e-04
4.208469e-03    1.211981e+02    1.288122e-02    1.045174e-04
4.236693e-03    1.209739e+02    1.286930e-02    1.045701e-04
4.265107e-03    1.207818e+02    1.285908e-02    1.046234e-04
4.293711e-03    1.205556e+02    1.284703e-02    1.046773e-04
4.322507e-03    1.203219e+02    1.283457e-02    1.047320e-04
4.351497e-03    1.200980e+02    1.282263e-02    1.047874e-04
4.380680e-03    1.199139e+02    1.281280e-02    1.048435e-04
4.410059e-03    1.196553e+02    1.279897e-02    1.049003e-04
4.439636e-03    1.194215e+02    1.278646e-02    1.049579e-04
4.469411e-03    1.191881e+02    1.277396e-02    1.050162e-04
4.499385e-03    1.189687e+02    1.276220e-02    1.050753e-04
4.529560e-03    1.187193e+02    1.274881e-02    1.051351e-04
4.559938e-03    1.184608e+02    1.273493e-02    1.051957e-04
4.590520e-03    1.182328e+02    1.272267e-02    1.052571e-04
4.621306e-03    1.179899e+02    1.270959e-02    1.053192e-04
4.652300e-03    1.177546e+02    1.269691e-02    1.053822e-04
4.683500e-03    1.174632e+02    1.268119e-02    1.054459e-04
4.714911e-03    1.172214e+02    1.266813e-02    1.055105e-04
4.746532e-03    1.169448e+02    1.265318e-02    1.055759e-04
4.778365e-03    1.167108e+02    1.264051e-02    1.056422e-04
4.810411e-03    1.164565e+02    1.262673e-02    1.057093e-04
4.842672e-03    1.161584e+02    1.261056e-02    1.057772e-04
4.875150e-03    1.158976e+02    1.259640e-02    1.058461e-04
4.907846e-03    1.156179e+02    1.258119e-02    1.059158e-04
4.940760e-03    1.153518e+02    1.256670e-02    1.059864e-04
4.973896e-03    1.150921e+02    1.255255e-02    1.060579e-04
5.007254e-03    1.147908e+02    1.253610e-02    1.061303e-04
5.040835e-03    1.145199e+02    1.252130e-02    1.062037e-04
5.074642e-03    1.142125e+02    1.250449e-02    1.062779e-04
5.108675e-03    1.139091e+02    1.248787e-02    1.063532e-04
5.142937e-03    1.136177e+02    1.247188e-02    1.064294e-04
5.177429e-03    1.133369e+02    1.245646e-02    1.065065e-04
5.212151e-03    1.129938e+02    1.243760e-02    1.065846e-04
5.247107e-03    1.127295e+02    1.242304e-02    1.066638e-04
5.282297e-03    1.124089e+02    1.240536e-02    1.067439e-04
5.317723e-03    1.120845e+02    1.238745e-02    1.068250e-04
5.353387e-03    1.117808e+02    1.237065e-02    1.069072e-04
5.389290e-03    1.114721e+02    1.235356e-02    1.069905e-04
5.425433e-03    1.111267e+02    1.233441e-02    1.070747e-04
5.461819e-03    1.107874e+02    1.231556e-02    1.071601e-04
5.498449e-03    1.104797e+02    1.229845e-02    1.072465e-04
5.535325e-03    1.101065e+02    1.227766e-02    1.073340e-04
5.572448e-03    1.098048e+02    1.226083e-02    1.074226e-04
5.609820e-03    1.094538e+02    1.224121e-02    1.075124e-04
5.647443e-03    1.091173e+02    1.222239e-02    1.076032e-04
5.685318e-03    1.087565e+02    1.220216e-02    1.076952e-04
5.723447e-03    1.084163e+02    1.218306e-02    1.077884e-04
5.761832e-03    1.080566e+02    1.216284e-02    1.078828e-04
5.800474e-03    1.077024e+02    1.214288e-02    1.079783e-04
5.839375e-03    1.073243e+02    1.212155e-02    1.080750e-04
5.878537e-03    1.069847e+02    1.210236e-02    1.081729e-04
5.917962e-03    1.065665e+02    1.207868e-02    1.082721e-04
5.957651e-03    1.062368e+02    1.205998e-02    1.083725e-04
5.997607e-03    1.058253e+02    1.203660e-02    1.084742e-04
6.037830e-03    1.054474e+02    1.201509e-02    1.085771e-04
6.078323e-03    1.050392e+02    1.199181e-02    1.086813e-04
6.119088e-03    1.046704e+02    1.197074e-02    1.087869e-04
6.160126e-03    1.042613e+02    1.194732e-02    1.088937e-04
6.201439e-03    1.038532e+02    1.192392e-02    1.090019e-04
6.243030e-03    1.034838e+02    1.190269e-02    1.091114e-04
6.284899e-03    1.030428e+02    1.187731e-02    1.092223e-04
6.327049e-03    1.026542e+02    1.185489e-02    1.093345e-04
6.369482e-03    1.022453e+02    1.183126e-02    1.094482e-04
6.412199e-03    1.018021e+02    1.180558e-02    1.095633e-04
6.455203e-03    1.013970e+02    1.178207e-02    1.096797e-04
6.498495e-03    1.009556e+02    1.175640e-02    1.097977e-04
6.542078e-03    1.005313e+02    1.173167e-02    1.099171e-04
6.585953e-03    1.000807e+02    1.170534e-02    1.100379e-04
6.630122e-03    9.966010e+01    1.168073e-02    1.101603e-04
6.674587e-03    9.918703e+01    1.165297e-02    1.102841e-04
6.719351e-03    9.874689e+01    1.162708e-02    1.104095e-04
6.764415e-03    9.827770e+01    1.159943e-02    1.105364e-04
6.809781e-03    9.782468e+01    1.157266e-02    1.106649e-04
6.855451e-03    9.737749e+01    1.154618e-02    1.107950e-04
6.901428e-03    9.690620e+01    1.151821e-02    1.109266e-04
6.947713e-03    9.643396e+01    1.149011e-02    1.110599e-04
6.994308e-03    9.597408e+01    1.146268e-02    1.111948e-04
7.041216e-03    9.548411e+01    1.143338e-02    1.113314e-04
7.088438e-03    9.495843e+01    1.140186e-02    1.114696e-04
7.135977e-03    9.452023e+01    1.137553e-02    1.116095e-04
7.183835e-03    9.399630e+01    1.134396e-02    1.117511e-04
7.232014e-03    9.351476e+01    1.131486e-02    1.118944e-04
7.280516e-03    9.301482e+01    1.128457e-02    1.120395e-04
7.329343e-03    9.250100e+01    1.125336e-02    1.121863e-04
7.378498e-03    9.199075e+01    1.122228e-02    1.123349e-04
7.427982e-03    9.149601e+01    1.119206e-02    1.124853e-04
7.477799e-03    9.097716e+01    1.116029e-02    1.126376e-04
7.527949e-03    9.043687e+01    1.112710e-02    1.127916e-04
7.578436e-03    8.989219e+01    1.109354e-02    1.129476e-04
7.629261e-03    8.936944e+01    1.106124e-02    1.131054e-04
7.680427e-03    8.883324e+01    1.102800e-02    1.132651e-04
7.731937e-03    8.831103e+01    1.099554e-02    1.134267e-04
7.783791e-03    8.775420e+01    1.096082e-02    1.135903e-04
7.835994e-03    8.721283e+01    1.092696e-02    1.137558e-04
7.888547e-03    8.665323e+01    1.089185e-02    1.139233e-04
7.941452e-03    8.609049e+01    1.085642e-02    1.140929e-04
7.994712e-03    8.552523e+01    1.082072e-02    1.142644e-04
8.048329e-03    8.494197e+01    1.078376e-02    1.144380e-04
8.102305e-03    8.439655e+01    1.074908e-02    1.146136e-04
